工作表,行,列,原始地址(HMI),Modbus地址(0-based),FUXA地址(1-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0,30,11,D0175,4x0175,4X176,开模卸荷压力1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,31,11,D0176,4x0176,4X177,开模卸荷流量1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,32,11,D0177,4x0177,4X178,开模卸荷位置1,int,2字,0.01,,开合模,false,,,0,-1,是,
D0,34,11,D0179,4x0179,4X180,开模卸荷时间1,ushort,1字,0.1,,开合模,false,,,0,-1,是,
D0,45,11,D0190,4x0190,4X191,功能低压保护,ushort,1字,1,s,开合模,false,,,0,-1,是,
D0,46,11,D0191,4x0191,4X192,功能开合模限时,ushort,1字,1,s,开合模,false,,,0,-1,是,
D0,47,11,D0192,4x0192,4X193,功能合模高压压力,ushort,1字,0.1,MPa,开合模,false,,,0,-1,是,
D0,48,11,D0193,4x0193,4X194,功能_2,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,49,11,D0194,4x0194,4X195,功能_4,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,50,11,D0195,4x0195,4X196,功能_6,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,51,11,D0196,4x0196,4X197,功能_9,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,52,11,D0197,4x0197,4X198,功能_13,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,53,11,D0198,4x0198,4X199,合模段数,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,54,11,D0199,4x0199,4X200,开模段数,ushort,1字,1,,开合模,false,,,0,-1,是,
D0,5,14,D0200,4x0200,4X201,射出1压力1,ushort,1字,0.1,,射出,false,,,1,298,是,
D0,6,14,D0201,4x0201,4X202,射出1流量1,ushort,1字,0.1,,射出,false,,,1,298,是,
D0,7,14,D0202,4x0202,4X203,射出1位置1,int,2字,0.01,,射出,false,,,1,298,是,0~300
D0,9,14,D0204,4x0204,4X205,射出1时间1,ushort,1字,0.1,,射出,false,,,1,298,是,
D0,10,14,D0205,4x0205,4X206,射出2压力1,ushort,1字,0.1,,射出,false,,,2,298,是,
D0,11,14,D0206,4x0206,4X207,射出2流量1,ushort,1字,0.1,,射出,false,,,2,298,是,
D0,12,14,D0207,4x0207,4X208,射出2位置1,int,2字,0.01,,射出,false,,,2,298,是,0~D202
D0,14,14,D0209,4x0209,4X210,射出2时间1,ushort,1字,0.1,,射出,false,,,2,298,是,
D0,15,14,D0210,4x0210,4X211,射出3压力1,ushort,1字,0.1,,射出,false,,,3,298,是,
D0,16,14,D0211,4x0211,4X212,射出3流量1,ushort,1字,0.1,,射出,false,,,3,298,是,
D0,17,14,D0212,4x0212,4X213,射出3位置1,int,2字,0.01,,射出,false,,,3,298,是,0~D207
D0,19,14,D0214,4x0214,4X215,射出3时间1,ushort,1字,0.1,,射出,false,,,3,298,是,
D0,20,14,D0215,4x0215,4X216,射出4压力1,ushort,1字,0.1,,射出,false,,,4,298,是,
D0,21,14,D0216,4x0216,4X217,射出4流量1,ushort,1字,0.1,,射出,false,,,4,298,是,
D0,22,14,D0217,4x0217,4X218,射出4位置1,int,2字,0.01,,射出,false,,,4,298,是,0~D212
D0,24,14,D0219,4x0219,4X220,射出4时间1,ushort,1字,0.1,,射出,false,,,4,298,是,
D0,25,14,D0220,4x0220,4X221,射出5压力1,ushort,1字,0.1,,射出,false,,,5,298,是,
D0,26,14,D0221,4x0221,4X222,射出5流量1,ushort,1字,0.1,,射出,false,,,5,298,是,
D0,27,14,D0222,4x0222,4X223,射出5位置1,int,2字,0.01,,射出,false,,,5,298,是,0~D217
D0,29,14,D0224,4x0224,4X225,射出5时间1,ushort,1字,0.1,,射出,false,,,5,298,是,
D0,30,14,D0225,4x0225,4X226,射出6压力1,ushort,1字,0.1,,射出,false,,,6,298,是,
D0,31,14,D0226,4x0226,4X227,射出6流量1,ushort,1字,0.1,,射出,false,,,6,298,是,
D0,32,14,D0227,4x0227,4X228,射出6位置1,int,2字,0.01,,射出,false,,,6,298,是,0~D222
D0,34,14,D0229,4x0229,4X230,射出6时间1,ushort,1字,0.1,,射出,false,,,6,298,是,
D0,35,14,D0230,4x0230,4X231,射出7压力1,ushort,1字,0.1,,射出,false,,,7,298,是,
D0,36,14,D0231,4x0231,4X232,射出7流量1,ushort,1字,0.1,,射出,false,,,7,298,是,
D0,37,14,D0232,4x0232,4X233,射出7位置1,int,2字,0.01,,射出,false,,,7,298,是,0~D227
D0,39,14,D0234,4x0234,4X235,射出7时间1,ushort,1字,0.1,,射出,false,,,7,298,是,
D0,40,14,D0235,4x0235,4X236,射出8压力1,ushort,1字,0.1,,射出,false,,,8,298,是,
D0,41,14,D0236,4x0236,4X237,射出8流量1,ushort,1字,0.1,,射出,false,,,8,298,是,
D0,42,14,D0237,4x0237,4X238,射出8位置1,int,2字,0.01,,射出,false,,,8,298,是,0~D232
D0,44,14,D0239,4x0239,4X240,射出8时间1,ushort,1字,0.1,,射出,false,,,8,298,是,
D0,45,14,D0240,4x0240,4X241,射出9压力1,ushort,1字,0.1,,射出,false,,,9,298,是,
D0,46,14,D0241,4x0241,4X242,射出9流量1,ushort,1字,0.1,,射出,false,,,9,298,是,
D0,47,14,D0242,4x0242,4X243,射出9位置1,int,2字,0.01,,射出,false,,,9,298,是,0~D237
D0,49,14,D0244,4x0244,4X245,射出9时间1,ushort,1字,0.1,,射出,false,,,9,298,是,
D0,50,14,D0245,4x0245,4X246,射出10压力1,ushort,1字,0.1,,射出,false,,,10,298,是,
D0,51,14,D0246,4x0246,4X247,射出10流量1,ushort,1字,0.1,,射出,false,,,10,298,是,
D0,52,14,D0247,4x0247,4X248,射出10位置1,int,2字,0.01,,射出,false,,,10,298,是,0~D242
D0,54,14,D0249,4x0249,4X250,射出10时间1,ushort,1字,0.1,,射出,false,,,10,298,是,
D0,5,17,D0250,4x0250,4X251,保压1压力1,ushort,1字,0.1,,射出,false,,,1,299,是,
D0,6,17,D0251,4x0251,4X252,保压1流量1,ushort,1字,0.1,,射出,false,,,1,299,是,
D0,7,17,D0252,4x0252,4X253,保压1位置1,int,2字,0.01,,射出,false,,,1,299,是,0~300
D0,9,17,D0254,4x0254,4X255,保压1时间1,ushort,1字,0.1,,射出,false,,,1,299,是,
D0,10,17,D0255,4x0255,4X256,保压2压力1,ushort,1字,0.1,,射出,false,,,2,299,是,
D0,11,17,D0256,4x0256,4X257,保压2流量1,ushort,1字,0.1,,射出,false,,,2,299,是,
D0,12,17,D0257,4x0257,4X258,保压2位置1,int,2字,0.01,,射出,false,,,2,299,是,0~D252
D0,14,17,D0259,4x0259,4X260,保压2时间1,ushort,1字,0.1,,射出,false,,,2,299,是,
D0,15,17,D0260,4x0260,4X261,保压3压力1,ushort,1字,0.1,,射出,false,,,3,299,是,
D0,16,17,D0261,4x0261,4X262,保压3流量1,ushort,1字,0.1,,射出,false,,,3,299,是,
D0,17,17,D0262,4x0262,4X263,保压3位置1,int,2字,0.01,,射出,false,,,3,299,是,0~D257
D0,19,17,D0264,4x0264,4X265,保压3时间1,ushort,1字,0.1,,射出,false,,,3,299,是,
D0,20,17,D0265,4x0265,4X266,保压4压力1,ushort,1字,0.1,,射出,false,,,4,299,是,
D0,21,17,D0266,4x0266,4X267,保压4流量1,ushort,1字,0.1,,射出,false,,,4,299,是,
D0,22,17,D0267,4x0267,4X268,保压4位置1,int,2字,0.01,,射出,false,,,4,299,是,0~D262
D0,24,17,D0269,4x0269,4X270,保压4时间1,ushort,1字,0.1,,射出,false,,,4,299,是,
D0,25,17,D0270,4x0270,4X271,保压5压力1,ushort,1字,0.1,,射出,false,,,5,299,是,
D0,26,17,D0271,4x0271,4X272,保压5流量1,ushort,1字,0.1,,射出,false,,,5,299,是,
D0,27,17,D0272,4x0272,4X273,保压5位置1,int,2字,0.01,,射出,false,,,5,299,是,0~D267
