原始地址(HMI),Modbus地址(0-based),标签名,类型,字数,比例,单位,HMI显示,只读,控件类型,枚举选项,段索引,段数寄存器,保存历史,范围
D0301,4x0301,储料1流量1,ushort,1字,0.1,,储料,false,,,1,398,是,
D0302,4x0302,储料1位置1,int,2字,0.01,,储料,false,,,1,398,是,0~300
D0304,4x0304,储料1时间1,ushort,1字,0.1,,储料,false,,,1,398,是,
D0305,4x0305,储料2压力1,ushort,1字,0.1,,储料,false,,,2,398,是,
D0306,4x0306,储料2流量1,ushort,1字,0.1,,储料,false,,,2,398,是,
D0307,4x0307,储料2位置1,int,2字,0.01,,储料,false,,,2,398,是,D302~300
D0309,4x0309,储料2时间1,ushort,1字,0.1,,储料,false,,,2,398,是,
D0310,4x0310,储料3压力1,ushort,1字,0.1,,储料,false,,,3,398,是,
D0311,4x0311,储料3流量1,ushort,1字,0.1,,储料,false,,,3,398,是,
D0312,4x0312,储料3位置1,int,2字,0.01,,储料,false,,,3,398,是,D307~300
D0314,4x0314,储料3时间1,ushort,1字,0.1,,储料,false,,,3,398,是,
D0315,4x0315,储料4压力1,ushort,1字,0.1,,储料,false,,,4,398,是,
D0316,4x0316,储料4流量1,ushort,1字,0.1,,储料,false,,,4,398,是,
D0317,4x0317,储料4位置1,int,2字,0.01,,储料,false,,,4,398,是,D312~300
D0319,4x0319,储料4时间1,ushort,1字,0.1,,储料,false,,,4,398,是,
D0320,4x0320,储料5压力1,ushort,1字,0.1,,储料,false,,,5,398,是,
D0321,4x0321,储料5流量1,ushort,1字,0.1,,储料,false,,,5,398,是,
D0322,4x0322,储料5位置1,int,2字,0.01,,储料,false,,,5,398,是,D317~300
D0324,4x0324,储料5时间1,ushort,1字,0.1,,储料,false,,,5,398,是,
D0325,4x0325,储料6压力1,ushort,1字,0.1,,储料,false,,,6,398,是,
D0326,4x0326,储料6流量1,ushort,1字,0.1,,储料,false,,,6,398,是,
D0327,4x0327,储料6位置1,int,2字,0.01,,储料,false,,,6,398,是,D322~300
D0329,4x0329,储料6时间1,ushort,1字,0.1,,储料,false,,,6,398,是,
D0330,4x0330,储料7压力1,ushort,1字,0.1,,储料,false,,,7,398,是,
D0331,4x0331,储料7流量1,ushort,1字,0.1,,储料,false,,,7,398,是,
D0332,4x0332,储料7位置1,int,2字,0.01,,储料,false,,,7,398,是,D327~300
D0334,4x0334,储料7时间1,ushort,1字,0.1,,储料,false,,,7,398,是,
